word1,word2,label1,label2,sim_value
sun,sunlight,n,n,50.0
automobile,car,n,n,50.0
river,water,n,n,49.0
stair,staircase,n,n,49.0
morning,sunrise,n,n,49.0
rain,storm,n,n,49.0
cat,kitten,n,n,49.0
dance,dancer,n,n,49.0
camera,photography,n,n,49.0
cat,feline,n,j,48.0
sunny,sunshine,j,n,48.0
pregnancy,pregnant,n,j,48.0
beach,sand,n,n,48.0
bakery,bread,n,n,48.0
flower,garden,n,n,48.0
grass,lawn,n,n,48.0
copper,metal,n,n,48.0
photo,photography,n,n,47.0
cemetery,graveyard,n,n,47.0
gravestone,graveyard,n,n,47.0
sun,sunshine,n,n,47.0
black,dark,j,j,47.0
cathedral,church,n,n,47.0
frozen,ice,j,n,47.0
station,subway,n,n,47.0
child,kid,n,n,46.0
aquarium,fish,n,n,46.0
light,lighting,n,n,46.0
fungus,mushroom,n,n,46.0
frost,snow,n,n,46.0
burn,flame,v,n,46.0
ocean,sea,n,n,46.0
candy,chocolate,n,n,46.0
car,vehicle,n,n,46.0
concert,music,n,n,46.0
photo,picture,n,n,46.0
grape,wine,n,n,46.0
bath,bathroom,n,n,46.0
bud,flower,n,n,46.0
cat,kitty,n,n,46.0
ocean,water,n,n,46.0
aircraft,airplane,n,n,46.0
butterfly,caterpillar,n,n,46.0
hair,wig,n,n,46.0
blossom,bud,n,n,46.0
highway,road,n,n,46.0
bunny,rabbit,n,n,46.0
bread,sandwich,n,n,46.0
mist,misty,n,j,46.0
flower,petal,n,n,46.0
airplane,flight,n,n,46.0
fish,fishing,n,n,46.0
ice,snow,n,n,46.0
bright,sun,j,n,45.0
shade,tree,n,n,45.0
bicycle,bike,n,n,45.0
truck,vehicle,n,n,45.0
shore,water,n,n,45.0
boat,fishing,n,n,45.0
dog,puppy,n,n,45.0
bride,wedding,n,n,45.0
bird,hummingbird,n,n,45.0
sea,water,n,n,45.0
cow,milk,n,n,45.0
bird,feather,n,n,45.0
skate,skating,n,n,45.0
chapel,church,n,n,45.0
branch,twig,n,n,45.0
concert,musician,n,n,45.0
clothes,dress,n,n,45.0
automobile,vehicle,n,n,45.0
splash,swimming,n,n,45.0
bed,furniture,n,n,45.0
aircraft,flight,n,n,45.0
reptile,snake,n,n,45.0
motorcycle,scooter,n,n,45.0
coffee,tea,n,n,45.0
feather,goose,n,n,45.0
pool,swimming,n,n,45.0
eye,face,n,n,45.0
dirt,dirty,n,j,45.0
railway,train,n,n,45.0
harbour,port,n,n,45.0
fruit,strawberry,n,n,45.0
flight,plane,n,n,45.0
smoke,smoking,n,n,45.0
ivy,plant,n,n,45.0
river,stream,n,n,45.0
lake,water,n,n,45.0
kitten,kitty,n,n,45.0
snow,snowman,n,n,45.0
dog,terrier,n,n,45.0
daffodil,flower,n,n,45.0
pond,water,n,n,45.0
show,television,n,n,44.0
handwriting,write,n,v,44.0
flood,water,n,n,44.0
jazz,musician,n,n,44.0
eagle,feather,n,n,44.0
grape,vine,n,n,44.0
bird,hawk,n,n,44.0
clothes,outfit,n,n,44.0
exhibition,museum,n,n,44.0
hand,palm,n,n,44.0
grave,graveyard,n,n,44.0
berry,strawberry,n,n,44.0
forest,oak,n,n,44.0
crochet,knit,n,v,44.0
bird,eagle,n,n,44.0
canine,puppy,j,n,44.0
bar,cocktail,n,n,44.0
bar,pub,n,n,44.0
sunlight,sunshine,n,n,44.0
apple,fruit,n,n,44.0
sun,sunrise,n,n,44.0
gymnastics,sport,n,n,44.0
sailing,ship,n,n,44.0
beach,sea,n,n,44.0
game,hockey,n,n,44.0
bed,pillow,n,n,44.0
daffodil,tulip,n,n,44.0
flower,plant,n,n,44.0
fire,smoke,n,n,44.0
canine,dog,j,n,44.0
bracelet,jewelry,n,n,44.0
feline,kitty,j,n,44.0
architecture,building,n,n,44.0
shop,shopping,n,n,44.0
highway,traffic,n,n,44.0
lizard,reptile,n,n,44.0
music,piano,n,n,44.0
strawberry,sweet,n,j,44.0
snow,winter,n,n,44.0
autumn,spring,n,n,44.0
bacon,meat,n,n,44.0
raspberry,strawberry,n,n,44.0
chipmunk,squirrel,n,n,44.0
coast,harbor,n,n,44.0
