word1,word2,label1,label2,sim_value
love,sex,n,n,6.77
tiger,cat,n,n,7.35
tiger,tiger,n,n,10.0
book,paper,n,n,7.46
computer,keyboard,n,n,7.62
computer,internet,n,n,7.58
plane,car,n,n,5.77
train,car,n,n,6.31
telephone,communication,n,n,7.5
television,radio,n,n,6.77
media,radio,n,n,7.42
drug,abuse,n,n,6.85
bread,butter,n,n,6.19
cucumber,potato,n,n,5.92
doctor,nurse,n,n,7.0
professor,doctor,n,n,6.62
student,professor,n,n,6.81
smart,student,n,n,4.62
smart,stupid,n,n,5.81
company,stock,n,n,7.08
stock,market,n,n,8.08
stock,phone,n,n,1.62
stock,CD,n,n,1.31
stock,jaguar,n,n,0.92
stock,egg,n,n,1.81
fertility,egg,n,n,6.69
stock,live,n,n,3.73
stock,life,n,n,0.92
book,library,n,n,7.46
bank,money,n,n,8.12
wood,forest,n,n,7.73
money,cash,n,n,9.08
professor,cucumber,n,n,0.31
king,cabbage,n,n,0.23
king,queen,n,n,8.58
king,rook,n,n,5.92
bishop,rabbi,n,n,6.69
Jerusalem,Israel,n,n,8.46
Jerusalem,Palestinian,n,n,7.65
holy,sex,n,n,1.62
fuck,sex,n,n,9.44
Maradona,football,n,n,8.62
football,soccer,n,n,9.03
football,basketball,n,n,6.81
football,tennis,n,n,6.63
tennis,racket,n,n,7.56
Arafat,peace,n,n,6.73
Arafat,terror,n,n,7.65
Arafat,Jackson,n,n,2.5
law,lawyer,n,n,8.38
movie,star,n,n,7.38
movie,popcorn,n,n,6.19
movie,critic,n,n,6.73
movie,theater,n,n,7.92
physics,proton,n,n,8.12
physics,chemistry,n,n,7.35
space,chemistry,n,n,4.88
alcohol,chemistry,n,n,5.54
vodka,gin,n,n,8.46
vodka,brandy,n,n,8.13
drink,car,n,n,3.04
drink,ear,n,n,1.31
drink,mouth,n,n,5.96
drink,eat,n,n,6.87
baby,mother,n,n,7.85
drink,mother,n,n,2.65
car,automobile,n,n,8.94
gem,jewel,n,n,8.96
journey,voyage,n,n,9.29
boy,lad,n,n,8.83
coast,shore,n,n,9.1
asylum,madhouse,n,n,8.87
magician,wizard,n,n,9.02
midday,noon,n,n,9.29
furnace,stove,n,n,8.79
food,fruit,n,n,7.52
bird,cock,n,n,7.1
bird,crane,n,n,7.38
tool,implement,n,n,6.46
brother,monk,n,n,6.27
crane,implement,n,n,2.69
lad,brother,n,n,4.46
journey,car,n,n,5.85
monk,oracle,n,n,5.0
cemetery,woodland,n,n,2.08
food,rooster,n,n,4.42
coast,hill,n,n,4.38
forest,graveyard,n,n,1.85
shore,woodland,n,n,3.08
monk,slave,n,n,0.92
coast,forest,n,n,3.15
lad,wizard,n,n,0.92
chord,smile,n,n,0.54
glass,magician,n,n,2.08
noon,string,n,n,0.54
rooster,voyage,n,n,0.62
money,dollar,n,n,8.42
money,currency,n,n,9.04
money,wealth,n,n,8.27
money,property,n,n,7.57
money,possession,n,n,7.29
money,deposit,n,n,7.73
money,withdrawal,n,n,6.88
money,laundering,n,n,5.65
money,operation,n,n,3.31
tiger,jaguar,n,n,8.0
tiger,feline,n,n,8.0
tiger,carnivore,n,n,7.08
tiger,mammal,n,n,6.85
tiger,animal,n,n,7.0
tiger,organism,n,n,4.77
tiger,fauna,n,n,5.62
tiger,zoo,n,n,5.87
psychology,psychiatry,n,n,8.08
psychology,anxiety,n,n,7.0
psychology,fear,n,n,6.85
psychology,depression,n,n,7.42
psychology,clinic,n,n,6.58
psychology,doctor,n,n,6.42
psychology,Freud,n,n,8.21
psychology,mind,n,n,7.69
psychology,health,n,n,7.23
psychology,science,n,n,6.71
psychology,discipline,n,n,5.58
psychology,cognition,n,n,7.48
planet,star,n,n,8.45
planet,constellation,n,n,8.06
planet,moon,n,n,8.08
planet,sun,n,n,8.02
planet,galaxy,n,n,8.11
planet,space,n,n,7.92
planet,astronomer,n,n,7.94
precedent,example,n,n,5.85
precedent,information,n,n,3.85
precedent,cognition,n,n,2.81
precedent,law,n,n,6.65
precedent,collection,n,n,2.5
precedent,group,n,n,1.77
precedent,antecedent,n,n,6.04
cup,coffee,n,n,6.58
cup,tableware,n,n,6.85
cup,article,n,n,2.4
cup,artifact,n,n,2.92
